car_price,kilometers_driven,fuel_type,city,Company,Model,Age
795000.0,44415.0,Petrol,Thane,Honda,City V CVT Petrol [2017-2019],8
795000.0,33613.0,Petrol,Mumbai,Honda,City VX CVT,9
795000.0,10000.0,Petrol,Mumbai,Toyota,Glanza G CVT,5
795000.0,61280.0,Petrol,Mumbai,Honda,BR-V V CVT Petrol,9
795000.0,21800.0,Petrol,Bangalore,Maruti Suzuki,Swift VXi AMT [2018-2019],5
795000.0,52245.0,Diesel,Thane,Maruti Suzuki,S-Cross Alpha 1.3,8
793000.0,70233.0,Petrol,Delhi,Honda,City V CVT Petrol [2017-2019],8
791000.0,39813.0,Petrol,Kolkata,Hyundai,Creta 1.6 S Petrol,7
790000.0,58289.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,10
790000.0,54000.0,Petrol,Hyderabad,Hyundai,Elite i20 Sportz 1.2 [2016-2017],6
790000.0,71400.0,Diesel,Ahmedabad,Ford,EcoSport Titanium 1.5L TDCi,8
790000.0,61225.0,Petrol,Mumbai,Honda,BR-V V CVT Petrol,9
790000.0,7500.0,Petrol,Ahmedabad,Kia,Sonet HTE 1.2 [2020-2021],4
790000.0,60126.0,Diesel,Ahmedabad,Ford,EcoSport Titanium 1.5L TDCi,8
790000.0,111139.0,Diesel,Mumbai,Volkswagen,Vento Highline 1.5 (D) AT,7
790000.0,48000.0,Diesel,Ahmedabad,Volkswagen,Vento Highline Diesel AT [2015-2016],9
790000.0,60000.0,Diesel,Ahmedabad,Honda,City SV Diesel,7
790000.0,56204.0,Diesel,Ahmedabad,Ford,EcoSport Titanium 1.5L TDCi,8
790000.0,110399.0,Diesel,Hyderabad,Maruti Suzuki,Ertiga ZDI SHVS,10
789000.0,9291.0,Petrol,Pune,Tata,Altroz XZ Petrol,5
789000.0,41068.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2,7
789000.0,60444.0,Petrol,Bangalore,Renault,Duster RXL Petrol,8
789000.0,34058.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2,7
785000.0,91000.0,Diesel,Hyderabad,Maruti Suzuki,Dzire VDi,7
785000.0,32853.0,Diesel,Thane,Maruti Suzuki,Swift ZDi Plus,7
785000.0,61123.0,Petrol,Noida,Honda,City VX CVT,9
785000.0,32516.0,Petrol,Bangalore,Maruti Suzuki,Swift VXi AMT,6
785000.0,29099.0,Petrol,Mumbai,Honda,WR-V VX MT Petrol,7
785000.0,28103.0,Petrol,Delhi,Toyota,Yaris G MT [2018-2020],6
779000.0,42825.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2,7
779000.0,58481.0,Diesel,Pune,Maruti Suzuki,Vitara Brezza VDi,7
779000.0,9889.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2 (O) [2016],9
779000.0,42825.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2,7
779000.0,99938.0,Petrol,Bangalore,Renault,Captur RXL Petrol,7
778000.0,8423.0,Alternative Fuel,Pune,Hyundai,Grand i10 Magna 1.2 Kappa VTVT CNG [2019-2020],4
778000.0,8423.0,Alternative Fuel,Pune,Hyundai,Grand i10 Magna 1.2 Kappa VTVT CNG [2019-2020],4
775000.0,24000.0,Petrol,Ahmedabad,Honda,WR-V SV MT Petrol,5
775000.0,49889.0,Petrol,Mumbai,Honda,BR-V S Petrol,7
775000.0,32000.0,Petrol,Chennai,Hyundai,Elite i20 Asta 1.2 (O) [2019-2020],6
775000.0,15899.0,Petrol,Ahmedabad,Honda,Amaze 1.2 V CVT Petrol [2018-2020],5
775000.0,76275.0,Petrol,Mumbai,Honda,BR-V V CVT Petrol,9
775000.0,69000.0,Diesel,Hyderabad,Maruti Suzuki,Swift VDi,6
775000.0,19418.0,Petrol,Bangalore,Hyundai,Elite i20 Magna Executive 1.2,6
775000.0,46945.0,Diesel,Delhi,Honda,WR-V VX MT Diesel,7
775000.0,25000.0,Petrol,Thane,Honda,City VX CVT,9
775000.0,62000.0,Petrol,Ahmedabad,Honda,City VX CVT,10
775000.0,48793.0,Petrol,Thane,Honda,City VX CVT,9
775000.0,22911.0,Petrol,Thane,Hyundai,Verna 1.6 VTVT SX,7
775000.0,15629.0,Diesel,Mumbai,Maruti Suzuki,S-Cross Zeta 1.3,8
775000.0,94931.0,Diesel,Bangalore,Renault,Duster 110 PS RxL AWD Diesel,10
770000.0,77505.0,Diesel,Chennai,Hyundai,Elite i20 Asta 1.4 CRDI,8
770000.0,71250.0,Diesel,Hyderabad,Maruti Suzuki,Dzire ZDi Plus,8
770000.0,17922.0,Petrol,Pune,Honda,Jazz V Petrol,6
